Edad;Genero;Procedencia;Traslado_ UNAH;Computadora_ permanente;Conexi?n_ permanente;Calidad_ conexi?n;Estudio_ secundaria;Cantidad_ carreras;Rango_ acad?mico;Mejorar_ ?ndice;Exelencia_academica;Reprobaci?n;Rango_ promedio_ clases;Flexibilidad_ horarios;Horas_ libres;Estimaci?n_ horas_ libres;Lista_ espera;Mas_ cupos;Preferencia_ estudio;Horas_ diarias_ estudio;Disciplina;Autodidacta;Demora;EntorNo;Motivo_ estudio;Seguimiento;Deserci?n;Sobrepoblaci?n;Aumento _de _la poblaci?n;Sobrecarga_ laboral;Planificaci?n;Estrategias_ educativas;Recursos;Plataforma;Frecuencia_ de_ uso;Aumento_ de_ uso;Uso_ lms;lms_ utiliza;Estimaci?n_ lms;Cambio _LMS
23-27;Masculino;No;Normal;Si;Si;Si;Si;No;80-89;Mejor Planificaci?n;Si;Si;4 a 6 ;Si;Si;Pocas;Si;Si;Solo;4;Si;Si;Si;Si;Te gusta la carrera;Si;No;Si;No;Si;21% - 40%;20% - 40%;Si;Si;En ocasiones;Poco;Si;Otras;Mucho;Si
23-27;Masculino;No;Normal;Si;Si;Si;Si;No;80-89;Mejor Planificaci?n;Si;Si;4 a 6 ;Si;Si;Pocas;Si;Si;Solo;4;Si;Si;Si;Si;Te gusta la carrera;Si;No;Si;No;Si;21% - 40%;20% - 40%;Si;Si;En ocasiones;Poco;Si;Otras;Mucho;Si
23-27;Masculino;Si;Pocas;Si;Si;Si;Si;No;80-89;Mejor Planificaci?n;Si;Si;2 a 4;Si;No;;No;No;Solo;1;Si;Si;Si;Si;Te gusta la carrera;Si;Si;Si;No;Si;41% - 60%;41% - 60%;Si;Si;En ocasiones;Poco;Si;"Moodle;Wordpress";Intermedio;Si
23-27;Femenino;No;Pocas;Si;Si;Si;Si;No;80-89;"Mejor Planificaci?n;Flexibilidad de horarios";Si;Si;4 a 6 ;No;No;;Si;Si;Grupo;1;En ocasiones;Si;Si;Si;Influencia de terceros;Si;Si;Si;No;Si;0% - 20%;0% - 20%;Si;Si;En ocasiones;Intermedio;Si;"Moodle;Wordpress";Intermedio;Si
28-32;Masculino;No;Muchas;Si;Si;Si;Si;No;<70;"Mejor Planificaci?n;Otros";No;Si;2 a 4;Si;Si;Intermedias;Si;Si;Solo;2;Si;Si;Si;No;Te gusta la carrera;Si;Si;Si;No;Si;0% - 20%;0% - 20%;Si;Si;Muy frecuentemente;Mucho;Si;Wordpress;Poco;Si
23-27;Masculino;Si;Normal;Si;Si;Si;Si;No;80-89;"Mejor Planificaci?n;Flexibilidad de horarios";Si;Si;4 a 6 ;No;Si;Intermedias;Si;Si;Grupo;4;En ocasiones;Si;Si;Si;Te gusta la carrera;Si;No;No;No;Si;21% - 40%;41% - 60%;Si;Si;Muy frecuentemente;Mucho;Si;"Moodle;Wordpress";Mucho;Si
23-27;Masculino;No;Pocas;Si;Si;Si;No;No;80-89;Flexibilidad de horarios;Si;No;1 a 2;No;No;;No;Si;Solo;3;Si;Si;Si;Si;Te gusta la carrera;Si;No;No;No;No;41% - 60%;20% - 40%;Si;Si;Muy frecuentemente;Intermedio;Si;"Moodle;Canvas LMS;Otras";Intermedio;Si
23-27;Femenino;Si;Pocas;Si;Si;Si;No;No;70-79;"Mejor Planificaci?n;Flexibilidad de horarios";No;Si;1 a 2;Si;No;;Si;Si;Grupo;2;Si;Si;Si;Si;Te gusta la carrera;Mas o meNos;No;Si;Si;Si;61% - 80%;41% - 60%;Si;Si;Muy frecuentemente;Intermedio;No;;;Si
23-27;Femenino;Si;Normal;Si;Si;Si;Si;No;70-79;Flexibilidad de horarios;No;No;2 a 4;No;Si;Intermedias;Si;Si;Solo;5;Si;Si;Si;Si;Te gusta la carrera;Mas o meNos;Si;Si;Si;Si;21% - 40%;20% - 40%;Si;Si;En ocasiones;Mucho;Si;Moodle;Poco;Si
23-27;Masculino;No;Normal;Si;Si;No;Si;No;70-79;"Mejor Planificaci?n;Flexibilidad de horarios";No;Si;2 a 4;No;Si;Muchas;Si;Si;Grupo;2;En ocasiones;Si;Si;Si;Te gusta la carrera;Si;Si;Si;Si;Si;21% - 40%;0% - 20%;Si;Si;En ocasiones;Mucho;Si;"Moodle;Wordpress";Mucho;Si
23-27;Femenino;No;Normal;Si;Si;Si;Si;No;70-79;Mejor Planificaci?n;Si;Si;4 a 6 ;No;Si;Intermedias;Si;Si;Solo;1;Si;Si;Si;Si;Otros;Si;No;Si;Si;Si;41% - 60%;41% - 60%;Si;Si;En ocasiones;Mucho;No;;;Si
23-27;Masculino;No;Normal;Si;Si;Si;No;No;80-89;Mejor Planificaci?n;Si;No;2 a 4;Si;No;;No;Si;Grupo;2;Si;Si;Si;Si;Influencia de terceros;Si;No;Si;Si;Si;41% - 60%;41% - 60%;Si;Si;En ocasiones;Intermedio;Si;"Moodle;Otras";Intermedio;Si
23-27;Femenino;Si;Muchas;Si;No;;No;No;70-79;Mejor Planificaci?n;No;Si;2 a 4;No;Si;Muchas;Si;Si;Grupo;3;En ocasiones;No;Si;Si;Influencia de terceros;Mas o meNos;Si;Si;Si;Si;21% - 40%;41% - 60%;Si;Si;En ocasiones;Mucho;No;;;Si
23-27;Femenino;No;Pocas;Si;Si;Si;No;Si;80-89;"Mejor Planificaci?n;Flexibilidad de horarios";Si;Si;4 a 6 ;No;Si;Pocas;Si;Si;Solo;2;Si;Si;Si;Si;Te gusta la carrera;Si;Si;Si;No;No;21% - 40%;41% - 60%;No;Si;En ocasiones;Intermedio;Si;Otras;Mucho;Si
28-32;Masculino;No;Normal;Si;Si;No;No;No;70-79;Flexibilidad de horarios;No;Si;2 a 4;Si;Si;Intermedias;Si;Si;Solo;2;Si;Si;Si;Si;Te gusta la carrera;Si;No;Si;Si;Si;41% - 60%;61% - 80%;Si;Si;Muy frecuentemente;Intermedio;Si;Otras;Intermedio;Si
23-27;Masculino;Si;Normal;Si;No;;Si;No;70-79;Mejor Planificaci?n;Si;Si;4 a 6 ;Si;No;;Si;Si;Solo;1;Si;Si;Si;Si;Te gusta la carrera;Si;Si;Si;Si;Si;21% - 40%;20% - 40%;Si;Si;En ocasiones;Poco;Si;Moodle;Poco;Si
23-27;Femenino;Si;Muchas;No;No;;No;Si;80-89;Flexibilidad de horarios;No;No;2 a 4;No;No;;Si;Si;Grupo;7;Si;No;Si;Si;Te gusta la carrera;Si;No;No;Si;Si;0% - 20%;0% - 20%;Si;Si;En ocasiones;Mucho;No;;;Si
23-27;Masculino;No;Normal;Si;Si;Si;No;No;70-79;Mejor Planificaci?n;Si;Si;2 a 4;No;Si;Intermedias;Si;Si;Grupo;4;Si;Si;Si;Si;Te gusta la carrera;Si;No;Si;Si;Si;41% - 60%;41% - 60%;Si;Si;Muy frecuentemente;Mucho;Si;"Moodle;Wordpress;Otras";Intermedio;Si
23-27;Masculino;No;Pocas;Si;Si;No;Si;No;<70;Mejor Planificaci?n;No;Si;2 a 4;Si;Si;Intermedias;Si;Si;Solo;3;En ocasiones;Si;Si;Si;Te gusta la carrera;Si;No;Si;No;Si;21% - 40%;0% - 20%;Si;Si;En ocasiones;Mucho;Si;"Moodle;Otras";Mucho;Si
23-27;Femenino;No;Muchas;Si;Si;Si;Si;No;70-79;"Mejor Planificaci?n;Flexibilidad de horarios";Si;Si;2 a 4;No;Si;Intermedias;Si;Si;Grupo;2;Si;No;Si;Si;Te gusta la carrera;Si;Si;Si;No;Si;41% - 60%;41% - 60%;Si;Si;En ocasiones;Mucho;Si;Moodle;Intermedio;Si
23-27;Masculino;No;Pocas;Si;Si;Si;No;No;<70;Mejor Planificaci?n;Si;Si;2 a 4;Si;No;;Si;Si;Solo;2;Si;Si;Si;Si;Te gusta la carrera;Si;No;Si;Si;Si;41% - 60%;41% - 60%;Si;Si;En ocasiones;Intermedio;Si;Wordpress;Intermedio;Si
23-27;Femenino;Si;Muchas;Si;Si;Si;Si;No;80-89;Mejor Planificaci?n;Si;Si;2 a 4;Si;Si;Intermedias;Si;Si;Solo;2;Si;Si;Si;Si;Te gusta la carrera;Mas o meNos;No;Si;Si;Si;41% - 60%;41% - 60%;Si;Si;Nunca;Mucho;No;;;Si
18-22;Masculino;No;Normal;Si;Si;Si;No;No;70-79;Flexibilidad de horarios;No;Si;4 a 6 ;Si;Si;Pocas;Si;Si;Grupo;4;Si;Si;Si;Si;Influencia de terceros;Si;Si;No;No;Si;0% - 20%;0% - 20%;Si;Si;Muy frecuentemente;Mucho;No;;;Si
23-27;Femenino;No;Normal;Si;Si;Si;No;No;80-89;Flexibilidad de horarios;Si;Si;2 a 4;No;Si;Muchas;Si;Si;Solo;3;Si;Si;Si;Si;Te gusta la carrera;Si;Si;Si;Si;Si;41% - 60%;41% - 60%;Si;Si;Muy frecuentemente;Mucho;Si;"Canvas LMS;Wordpress";Intermedio;Si
23-27;Masculino;No;Pocas;Si;Si;Si;No;No;80-89;Mejor Planificaci?n;No;Si;2 a 4;Si;Si;Pocas;Si;No;Solo;1;Si;Si;Si;No;Te gusta la carrera;Si;Si;Si;No;Si;61% - 80%;41% - 60%;Si;Si;En ocasiones;Intermedio;Si;"Moodle;Wordpress;Otras";Poco;Si
23-27;Masculino;Si;Normal;Si;Si;Si;Si;No;<70;Mejor Planificaci?n;No;Si;4 a 6 ;Si;Si;Intermedias;No;Si;Solo;1;En ocasiones;Si;Si;Si;Te gusta la carrera;Si;No;No;No;No;41% - 60%;20% - 40%;Si;Si;En ocasiones;Mucho;Si;Moodle;Intermedio;Si
18-22;Masculino;No;Muchas;Si;Si;No;No;No;70-79;Flexibilidad de horarios;No;Si;4 a 6 ;No;Si;Intermedias;Si;No;Solo;3;Si;Si;Si;Si;Te gusta la carrera;Si;Si;Si;No;No;21% - 40%;0% - 20%;Si;Si;En ocasiones;Mucho;No;;;Si
23-27;Femenino;Si;Normal;Si;Si;Si;Si;No;<70;Flexibilidad de horarios;No;Si;4 a 6 ;Si;Si;Intermedias;Si;Si;Grupo;3;Si;Si;Si;Si;Te gusta la carrera;Si;No;Si;Si;Si;21% - 40%;20% - 40%;Si;Si;Nunca;Mucho;Si;Wordpress;Mucho;Si
18-22;Femenino;Si;Pocas;Si;Si;Si;No;No;70-79;Mejor Planificaci?n;Si;Si;4 a 6 ;Si;Si;Pocas;Si;Si;Solo;3;Si;Si;Si;Si;Te gusta la carrera;Si;No;Si;Si;Si;21% - 40%;20% - 40%;Si;Si;En ocasiones;Intermedio;No;;;Si
18-22;Masculino;Si;Normal;Si;No;;Si;Si;90-100;"Mejor Planificaci?n;Flexibilidad de horarios";Si;No;4 a 6 ;No;Si;Intermedias;Si;Si;Solo;2;Si;Si;Si;Si;Te gusta la carrera;Si;No;Si;Si;Si;61% - 80%;61% - 80%;Si;Si;Muy frecuentemente;Mucho;Si;Canvas LMS;Mucho;Si
33-37;Masculino;No;Normal;Si;Si;Si;No;No;<70;Mejor Planificaci?n;No;Si;1 a 2;Si;No;;Si;Si;Grupo;3;Si;No;Si;Si;Te gusta la carrera;Si;No;No;Si;Si;0% - 20%;20% - 40%;Si;Si;En ocasiones;Poco;No;;;Si
23-27;Masculino;No;Normal;Si;Si;Si;No;No;70-79;"Flexibilidad de horarios;Otros";No;Si;4 a 6 ;Si;Si;Intermedias;Si;Si;Grupo;2;Si;Si;Si;Si;Te gusta la carrera;Si;Si;Si;Si;Si;21% - 40%;20% - 40%;Si;Si;En ocasiones;Mucho;Si;Canvas LMS;Intermedio;Si
23-27;Femenino;No;Normal;Si;No;;No;No;80-89;Mejor Planificaci?n;Si;No;2 a 4;No;No;;Si;Si;Solo;4;Si;Si;No;Si;Test vocacional;Si;No;Si;Si;Si;21% - 40%;20% - 40%;Si;Si;Muy frecuentemente;Mucho;No;;;Si
18-22;Masculino;Si;Normal;Si;No;;No;No;70-79;Flexibilidad de horarios;Si;No;4 a 6 ;No;Si;Muchas;Si;Si;Grupo;6;En ocasiones;Si;Si;Si;Te gusta la carrera;Si;No;No;No;Si;41% - 60%;41% - 60%;Si;Si;Nunca;Poco;Si;Wordpress;Intermedio;Si
23-27;Masculino;Si;Muchas;No;No;;No;No;<70;Mejor Planificaci?n;Si;Si;4 a 6 ;No;Si;Pocas;Si;Si;Grupo;1;No;No;Si;Si;Te gusta la carrera;Si;Si;No;Si;No;0% - 20%;0% - 20%;Si;Si;Nunca;Mucho;No;;;Si
18-22;Femenino;No;Pocas;Si;Si;Si;Si;No;80-89;Flexibilidad de horarios;Si;No;4 a 6 ;No;Si;Pocas;Si;Si;Grupo;1;Si;Si;Si;Si;Te gusta la carrera;Mas o meNos;Si;Si;Si;Si;41% - 60%;41% - 60%;Si;Si;En ocasiones;Poco;Si;Moodle;Poco;Si
23-27;Masculino;No;Normal;Si;Si;Si;No;No;80-89;"Mejor Planificaci?n;Flexibilidad de horarios";No;No;4 a 6 ;No;Si;Intermedias;Si;Si;Grupo;2;Si;Si;Si;Si;Te gusta la carrera;Si;Si;Si;Si;Si;0% - 20%;0% - 20%;Si;Si;En ocasiones;Poco;No;;;No
28-32;Masculino;Si;Normal;Si;Si;Si;No;No;70-79;Otros;No;Si;4 a 6 ;No;Si;Intermedias;Si;Si;Solo;3;Si;Si;Si;Si;Te gusta la carrera;Si;No;No;No;Si;41% - 60%;20% - 40%;Si;Si;En ocasiones;Intermedio;Si;Wordpress;Intermedio;Si
23-27;Masculino;No;Normal;Si;Si;Si;No;No;<70;Flexibilidad de horarios;No;Si;4 a 6 ;No;Si;Intermedias;No;Si;Grupo;2;Si;No;Si;Si;Te gusta la carrera;Si;Si;No;No;Si;41% - 60%;20% - 40%;Si;Si;En ocasiones;Poco;Si;Moodle;Poco;Si
23-27;Masculino;No;Pocas;Si;Si;No;Si;No;70-79;Mejor Planificaci?n;Si;Si;4 a 6 ;Si;No;;Si;Si;Grupo;5;Si;Si;Si;Si;Te gusta la carrera;Si;No;Si;Si;Si;41% - 60%;41% - 60%;Si;Si;En ocasiones;Mucho;Si;Otras;Intermedio;Si
18-22;Femenino;Si;Muchas;Si;No;;No;No;70-79;Flexibilidad de horarios;Si;Si;2 a 4;Si;Si;Intermedias;Si;Si;Solo;4;Si;Si;No;Si;Te gusta la carrera;Si;No;No;Si;Si;21% - 40%;41% - 60%;Si;Si;En ocasiones;Intermedio;Si;Moodle;Intermedio;Si
23-27;Masculino;No;Pocas;Si;No;;No;No;70-79;"Mejor Planificaci?n;Flexibilidad de horarios";Si;Si;4 a 6 ;Si;Si;Intermedias;Si;Si;Grupo;6;Si;Si;Si;Si;Te gusta la carrera;Si;No;Si;Si;Si;21% - 40%;20% - 40%;No;Si;Muy frecuentemente;Mucho;No;;;Si
23-27;Femenino;No;Normal;Si;Si;No;No;No;<70;"Mejor Planificaci?n;Flexibilidad de horarios;Otros";Si;Si;2 a 4;No;Si;Intermedias;Si;Si;Solo;3;En ocasiones;Si;Si;Si;Te gusta la carrera;Si;No;Si;Si;Si;41% - 60%;41% - 60%;Si;Si;En ocasiones;Intermedio;Si;"Moodle;Wordpress;Otras";Mucho;Si
28-32;Femenino;Si;Normal;Si;Si;Si;Si;No;70-79;Mejor Planificaci?n;No;Si;2 a 4;Si;No;;Si;Si;Grupo;2;Si;Si;Si;Si;Te gusta la carrera;Si;No;No;No;No;61% - 80%;61% - 80%;Si;Si;En ocasiones;Mucho;Si;Moodle;Intermedio;Si
18-22;Masculino;No;Normal;Si;No;;Si;No;70-79;"Mejor Planificaci?n;Flexibilidad de horarios";Si;Si;2 a 4;Si;Si;Pocas;Si;Si;Solo;2;Si;Si;Si;Si;Te gusta la carrera;Si;No;No;No;Si;61% - 80%;61% - 80%;Si;Si;En ocasiones;Mucho;Si;Moodle;Intermedio;Si
18-22;Femenino;Si;Muchas;Si;No;;Si;No;90-100;"Mejor Planificaci?n;Flexibilidad de horarios";No;Si;2 a 4;No;No;;Si;Si;Solo;2;Si;Si;Si;Si;Otros;Mas o meNos;Si;Si;No;Si;41% - 60%;41% - 60%;Si;Si;En ocasiones;Poco;Si;Moodle;Intermedio;Si
28-32;Masculino;No;Muchas;Si;Si;No;Si;Si;80-89;"Mejor Planificaci?n;Flexibilidad de horarios";No;Si;1 a 2;No;Si;Muchas;Si;Si;Grupo;3;Si;Si;Si;Si;Te gusta la carrera;Si;Si;Si;Si;Si;21% - 40%;0% - 20%;Si;Si;Muy frecuentemente;Mucho;No;;;Si
18-22;Femenino;No;Pocas;Si;Si;No;Si;No;80-89;"Mejor Planificaci?n;Flexibilidad de horarios";Si;No;4 a 6 ;Si;Si;Pocas;No;Si;Solo;2;Si;Si;Si;Si;Te gusta la carrera;Mas o meNos;Si;Si;Si;Si;41% - 60%;20% - 40%;Si;Si;En ocasiones;Mucho;No;;;Si
28-32;Masculino;No;Pocas;Si;Si;Si;Si;Si;70-79;Otros;No;Si;1 a 2;No;No;;Si;Si;Solo;1;Si;Si;Si;Si;Te gusta la carrera;Si;No;Si;Si;Si;21% - 40%;41% - 60%;Si;Si;En ocasiones;Poco;Si;"Moodle;Canvas LMS";Intermedio;Si
18-22;Femenino;No;Normal;No;Si;Si;No;No;90-100;Flexibilidad de horarios;Si;No;1 a 2;Si;No;;Si;Si;Grupo;4;Si;No;No;Si;Te gusta la carrera;Si;Si;Si;Si;No;41% - 60%;41% - 60%;Si;Si;En ocasiones;Poco;Si;"Moodle;Canvas LMS";Intermedio;Si
18-22;Masculino;No;Muchas;No;No;;No;No;70-79;Mejor Planificaci?n;Si;Si;2 a 4;Si;No;;Si;Si;Grupo;2;Si;Si;Si;Si;Te gusta la carrera;Mas o meNos;Si;No;No;No;61% - 80%;61% - 80%;Si;Si;En ocasiones;Intermedio;No;;;Si
18-22;Masculino;Si;Muchas;Si;Si;No;Si;No;<70;"Mejor Planificaci?n;Flexibilidad de horarios";No;Si;2 a 4;Si;No;;Si;Si;Grupo;5;En ocasiones;Si;Si;Si;Te gusta la carrera;Mas o meNos;No;No;No;No;41% - 60%;41% - 60%;No;Si;En ocasiones;Intermedio;No;;;Si
23-27;Femenino;No;Normal;Si;Si;Si;Si;No;70-79;Flexibilidad de horarios;No;Si;2 a 4;Si;No;;Si;Si;Grupo;2;Si;Si;Si;Si;Te gusta la carrera;Si;No;Si;Si;Si;41% - 60%;41% - 60%;Si;Si;En ocasiones;Mucho;Si;Otras;Poco;Si
18-22;Masculino;Si;Muchas;Si;No;;No;No;70-79;Mejor Planificaci?n;Si;Si;2 a 4;Si;No;;Si;Si;Solo;4;Si;Si;Si;No;Te gusta la carrera;Si;No;Si;No;No;0% - 20%;0% - 20%;Si;Si;Muy frecuentemente;Mucho;No;;;Si
28-32;Masculino;No;Normal;Si;Si;Si;No;No;80-89;Otros;Si;No;2 a 4;Si;Si;Pocas;Si;Si;Solo;5;Si;Si;Si;Si;Te gusta la carrera;Si;No;Si;No;Si;41% - 60%;41% - 60%;Si;Si;Muy frecuentemente;Poco;Si;Moodle;Intermedio;Si
23-27;Masculino;No;Muchas;Si;Si;No;No;No;70-79;Mejor Planificaci?n;Si;Si;4 a 6 ;No;Si;Muchas;Si;Si;Solo;3;Si;Si;Si;Si;Influencia de terceros;No;Si;No;Si;Si;41% - 60%;20% - 40%;Si;Si;En ocasiones;Mucho;No;;;Si
23-27;Masculino;No;Muchas;Si;Si;No;No;No;70-79;Mejor Planificaci?n;Si;Si;4 a 6 ;No;Si;Muchas;Si;Si;Solo;3;Si;Si;Si;Si;Influencia de terceros;No;Si;No;Si;Si;41% - 60%;20% - 40%;Si;Si;En ocasiones;Mucho;No;;;Si
23-27;Masculino;Si;Muchas;Si;Si;No;Si;Si;80-89;"Mejor Planificaci?n;Flexibilidad de horarios";Si;Si;4 a 6 ;No;Si;Intermedias;Si;Si;Solo;4;Si;Si;Si;Si;Test vocacional;Mas o meNos;Si;Si;Si;Si;0% - 20%;0% - 20%;No;Si;En ocasiones;Intermedio;No;;;Si
23-27;Masculino;Si;Normal;Si;No;;No;No;70-79;"Flexibilidad de horarios;Otros";No;Si;2 a 4;Si;No;;Si;Si;Solo;2;Si;Si;Si;No;Te gusta la carrera;Si;Si;Si;No;No;41% - 60%;41% - 60%;Si;Si;Muy frecuentemente;Mucho;Si;"Moodle;Otras";Intermedio;Si
18-22;Masculino;No;Normal;No;Si;No;Si;No;80-89;Otros;Si;Si;4 a 6 ;Si;Si;Pocas;Si;Si;Grupo;1;Si;Si;Si;No;Otros;Si;No;Si;No;Si;61% - 80%;61% - 80%;Si;No;En ocasiones;Poco;Si;"Canvas LMS;Wordpress;Otras";Intermedio;Si
23-27;Masculino;No;Normal;Si;Si;Si;Si;No;80-89;"Mejor Planificaci?n;Flexibilidad de horarios";Si;No;4 a 6 ;Si;Si;Intermedias;Si;Si;Solo;1;Si;Si;No;Si;Otros;Mas o meNos;Si;Si;No;Si;21% - 40%;0% - 20%;Si;Si;En ocasiones;Poco;Si;Moodle;Intermedio;Si
28-32;Masculino;No;Pocas;Si;Si;Si;Si;No;<70;Otros;No;Si;2 a 4;Si;No;;Si;Si;Solo;2;Si;Si;Si;No;Te gusta la carrera;Si;No;No;No;No;61% - 80%;41% - 60%;No;Si;En ocasiones;Poco;Si;Otras;Mucho;Si
18-22;Masculino;No;Muchas;Si;Si;Si;No;No;80-89;"Flexibilidad de horarios;Otros";Si;No;4 a 6 ;No;Si;Muchas;Si;Si;Solo;2;Si;Si;Si;Si;Te gusta la carrera;Si;No;No;No;No;61% - 80%;20% - 40%;Si;Si;Muy frecuentemente;Poco;Si;"Moodle;Otras";Mucho;Si
23-27;Femenino;No;Normal;Si;Si;Si;No;No;70-79;Flexibilidad de horarios;Si;Si;2 a 4;No;Si;Muchas;Si;Si;Solo;2;Si;Si;Si;Si;Otros;Mas o meNos;Si;Si;Si;Si;41% - 60%;41% - 60%;Si;Si;En ocasiones;Mucho;Si;Otras;Mucho;Si
23-27;Femenino;No;Muchas;Si;Si;No;No;Si;70-79;"Mejor Planificaci?n;Flexibilidad de horarios;Otros";Si;Si;4 a 6 ;Si;Si;Intermedias;Si;Si;Solo;1;Si;Si;Si;Si;Te gusta la carrera;Si;No;Si;No;Si;80% - 100%;80% - 100%;Si;Si;En ocasiones;Mucho;No;;;Si
18-22;Masculino;Si;Normal;Si;Si;No;No;No;70-79;"Mejor Planificaci?n;Otros";No;Si;4 a 6 ;No;Si;Pocas;Si;Si;Solo;4;Si;Si;No;Si;Te gusta la carrera;Mas o meNos;No;No;No;No;80% - 100%;41% - 60%;Si;Si;Muy frecuentemente;Mucho;No;;;Si
18-22;Masculino;Si;Muchas;No;No;;No;No;70-79;Mejor Planificaci?n;Si;Si;2 a 4;Si;Si;Intermedias;No;Si;Grupo;2;Si;Si;Si;Si;Te gusta la carrera;Si;No;No;Si;Si;41% - 60%;41% - 60%;Si;Si;Muy frecuentemente;Mucho;No;;;Si
18-22;Femenino;Si;Pocas;Si;Si;Si;Si;No;80-89;"Mejor Planificaci?n;Flexibilidad de horarios";No;Si;2 a 4;Si;No;;No;Si;Solo;3;Si;Si;Si;Si;Te gusta la carrera;Si;No;No;No;No;0% - 20%;41% - 60%;Si;Si;Muy frecuentemente;Mucho;No;;;No
